Name,Year of Manufacture,Kilometers Driven,Fuel Type,Transmission,Price
2022 KIA SELTOS HTE 1.5 DIESEL,2022,"36,166 km",Diesel,Manual,₹10.57 Lakh
2019 KIA SELTOS HTK PLUS 1.5,2019,"27,143 km",Petrol,Manual,₹9.86 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"9,526 km",Petrol,Manual,₹10.60 Lakh
2021 KIA SONET HTK PLUS 1.0 DCT,2021,"27,310 km",Petrol,Automatic,₹9.35 Lakh
2020 KIA CARNIVAL PREMIUM 2.2 7 STR,2020,"66,902 km",Diesel,Automatic,₹19.16 Lakh
2022 KIA SONET HTK PLUS 1.2,2022,"12,265 km",Petrol,Manual,₹8.77 Lakh
2020 KIA SONET HTK PLUS 1.5,2020,"67,883 km",Diesel,Manual,₹8.33 Lakh
2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL,2019,"24,009 km",Petrol,Automatic,₹14.78 Lakh
2019 KIA SELTOS GTX 1.4 PETROL DUAL TONE,2019,"11,707 km",Petrol,Manual,₹12.49 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"29,811 km",Petrol,Manual,₹10.59 Lakh
2022 KIA SONET HTK 1.5,2022,"23,502 km",Diesel,Manual,₹9.55 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"36,545 km",Petrol,Manual,₹10.61 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"20,224 km",Petrol,Manual,₹9.62 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"9,293 km",Petrol,Manual,₹13.45 Lakh
2022 KIA SELTOS HTX PETROL 1.5,2022,"16,721 km",Petrol,Manual,₹14.04 Lakh
2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL,2019,"49,161 km",Petrol,Automatic,₹14.17 Lakh
2022 KIA CARENS LUXURY PLUS 1.5 DIESEL AT 6 STR,2022,"23,444 km",Diesel,Automatic,₹15.54 Lakh
2022 KIA SONET GTX PLUS 1.0 IMT,2022,"22,717 km",Petrol,Manual,₹11.71 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"13,171 km",Petrol,Manual,₹15.06 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"24,315 km",Petrol,Manual,₹15.74 Lakh
2019 KIA SELTOS HTX 1.5 PETROL,2019,"32,031 km",Petrol,Manual,₹11.27 Lakh
2019 KIA SELTOS HTX 1.5 PETROL,2019,"64,349 km",Petrol,Manual,₹11.13 Lakh
2020 KIA SONET GTX PLUS 1.0 IMT,2020,"37,438 km",Petrol,Manual,₹9.40 Lakh
2019 KIA SELTOS HTX 1.5 PETROL,2019,"85,336 km",Petrol,Manual,₹11.14 Lakh
2022 KIA SONET HTK PLUS 1.0 IMT,2022,"4,763 km",Petrol,Manual,₹9.87 Lakh
2021 KIA SONET HTX 1.0 IMT,2021,"22,016 km",Petrol,Manual,₹9.12 Lakh
2021 KIA SONET HTX 1.0 IMT,2021,"24,996 km",Petrol,Manual,₹8.89 Lakh
2023 KIA SONET HTK PLUS 1.2,2023,"7,907 km",Petrol,Manual,₹9.45 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"34,198 km",Petrol,Manual,₹10.07 Lakh
2020 KIA SONET HTK PLUS 1.0 IMT,2020,"2,951 km",Petrol,Manual,₹8.34 Lakh
2022 KIA SONET HTK PLUS 1.0 IMT,2022,"22,078 km",Petrol,Manual,₹9.86 Lakh
2021 KIA SELTOS HTK PLUS 1.5,2021,"30,964 km",Petrol,Manual,₹9.82 Lakh
2020 KIA SELTOS GTX 1.4 PETROL,2020,"71,222 km",Petrol,Manual,₹11.82 Lakh
